DateTime,Text,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount
2022-10-07 14:14:21+00:00,"put it anoth way, we onli have about 26 month left to attract peopl to our side for #halalan2022. and that mean if you'r onli just begin to get your name across in 2025, then you'r almost bound to lose.",en,['Halalan2022'],1,10,35,0
2022-10-07 07:51:00+00:00,"probabl the greatest decis i ever made in my life is the day i vote for @lenirobredo and @kikopangilinan in #halalan2022 it wa my first time to regist and vote. #noregret #tumindig ✊🏽 simula pa lang ito, tuloy ang laban! para sa #kulayrosasangbukas🌸 #angatbuhaylahat🌱",en,"['Halalan2022', 'NoRegrets', 'Tumindig', 'KulayRosasAngBukas', 'AngatBuhayLahat']",0,0,1,0
2022-10-07 00:36:27+00:00,vp leni robredo say she will run for presid in #halalan2022 https://t.co/2cnexenm8u,en,['Halalan2022'],0,0,1,0
2022-10-06 03:23:41+00:00,"with the possibl postpon of the barangay and sangguniang kabataan (bsk) polls, @comelec expect up to 71 million filipino to cast their vote if the schedul will be move to 2023. #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-05 07:45:07+00:00,2022 gubernatori elect | iloco nort (con't) fariñas' best elector perform wa in the town of dumalneg where he won against manotoc by a margin of 38%. (4/4) #halalan2022 #electiontwitt #phelectiontwitt,en,"['Halalan2022', 'ElectionTwitter', 'PHElectionTwitter']",0,0,1,0
2022-10-05 07:45:06+00:00,2022 gubernatori elect | iloco nort (con't) manotoc' best elector perform wa in the town of nueva era where he won against fariña by a margin of 95%. (3/4) #halalan2022 #electiontwitt #phelectiontwitt,en,"['Halalan2022', 'ElectionTwitter', 'PHElectionTwitter']",1,0,1,0
2022-10-05 07:45:06+00:00,"2022 gubernatori elect | iloco nort (con't) base on the result map, support for manotoc wa quit strong in the second legisl district than in the first legisl district, where fariña wa a repres 4 times. (2/4) #halalan2022 #phelectiontwitt",en,"['Halalan2022', 'PHElectionTwitter']",1,0,0,0
2022-10-05 07:45:05+00:00,2022 gubernatori elect | iloco nort matthew marco manotoc wa re-elect as governor of the provinc after defeat former iloco norte-1 repres rudi fariñas. he won in 18 municip and 2 cities. fariña onli won in 3 municipalities. (1/4) #halalan2022 https://t.co/xfgfymm2l,en,['Halalan2022'],1,1,3,0
2022-10-05 01:44:03+00:00,"congress send sim registration, barangay and sk poll postpon bill to palac #botoko #bske2022 #halalan2022 #eleksyon2022 #phvote #bilangpilipino2022",en,"['BotoKo', 'BSKE2022', 'Halalan2022', 'Eleksyon2022', 'PHVote', 'BilangPilipino2022']",0,0,0,0
2022-10-04 17:18:39+00:00,"#kapercylapid is a hardcor critic of the dutertes, marcoses, it allies, and mostli corrupt officials, and support former vice pres.@lenirobredo last #halalan2022. he wa shot dead by 2 unknown men last monday night, octob 3. #ripkaperci #justiceforkapercylapid https://t.co/cvuwvx9l8k",en,"['KaPercyLapid', 'Halalan2022', 'RIPKaPercy', 'JusticeForKaPercyLapid']",0,1,2,0
2022-10-04 00:34:59+00:00,"we filipino alway want to learn thing the hard way --- pero thi time, at the expens of so mani under privileg and poor kababayans. #halalan2022",en,['Halalan2022'],0,0,0,0
2022-10-03 14:20:52+00:00,sanaol caught tamper with vote equip got arrested. #halalan2022,en,['halalan2022'],0,0,0,0
2022-10-03 03:19:52+00:00,just in: former governor roel degamo ha been proclaim the winner in the #halalan2022 negro orient gubernatori race at the comelec headquart in manila. | via @rafcabristant 📷: degamo/fb https://t.co/gsqtcjdoua,en,['Halalan2022'],3,3,24,2
2022-10-03 03:17:20+00:00,just in: former governor roel degamo ha been proclaim the winner in the #halalan2022 negro orient gubernatori race at the comelec headquart in manila. @abscbnnew 📷 degamo/fb https://t.co/vhkqvtmwq7,en,['Halalan2022'],1,0,0,0
